Id,SalePrice
1461,122454.72197839228
1462,156330.37607506049
1463,186877.6038139485
1464,191020.16682145404
1465,182641.48310841352
1466,176158.04695724297
1467,169302.35411668042
1468,171447.68481646656
1469,184524.74348554816
1470,126187.93263593766
1471,195735.34159744668
1472,97944.93233457497
1473,101680.46369802368
1474,151471.4850989041
1475,114370.29729925444
1476,365804.0092829251
1477,249531.56942295452
1478,309554.1349610462
1479,273739.938017884
1480,474893.2416922261
1481,310302.07091341546
1482,200718.43046372055
1483,175327.33446375138
1484,169569.45574514163
1485,178445.51273089234
1486,200556.70720706653
1487,314364.19175013603
1488,231731.23896525174
1489,214504.64866034963
1490,245738.44424555695
1491,190853.58945743367
1492,78375.18202652999
1493,193748.07355376528
1494,296291.8845943634
1495,275188.31773738447
1496,242457.53782226276
1497,178335.08333177495
1498,161783.85579562938
1499,159957.33797361312
1500,159112.96259323138
1501,176580.66668000224
1502,151989.40305804342
1503,290279.19373906375
1504,243482.0648251715
1505,231609.28772642682
1506,184549.6323373371
1507,247108.41456704304
1508,196631.57511578783
1509,159399.69797227634
1510,147359.67503021608
1511,143391.49869102487
1512,175798.68869389
1513,146239.2806322908
1514,169699.4575312797
1515,209194.02168322934
1516,143578.8066729947
1517,165475.55591694245
1518,138721.82685784594
1519,238136.87430672976
1520,135022.2955859014
1521,136479.25576760538
1522,174310.44135701944
1523,110684.27833103106
1524,127423.60568970814
1525,118459.35854043759
1526,116143.40517076364
1527,101839.15022976541
1528,133261.7980329446
1529,151941.88205385618
1530,175269.38270005444
1531,90779.84784871108
1532,92528.64964058575
1533,151446.75823662814
1534,125355.6241170095
1535,156408.29418875938
1536,109996.38352947359
1537,75611.81130581896
1538,169850.47251417214
1539,214909.80055896807
1540,92534.73211653359
1541,148314.63261542658
1542,139375.20016707803
1543,204203.3279142983
1544,69610.50381038552
1545,113153.02706957448
1546,130186.33642904296
1547,134713.577744048
1548,138365.50251351873
1549,115775.94117681602
1550,142726.95797117756
1551,115019.61723586662
1552,143704.95203652643
1553,160546.74897736628
1554,109465.84634003529
1555,161694.5339336217
1556,74100.71916926187
1557,113615.45330776679
1558,101455.87602607618
1559,87964.14816854065
1560,136367.95243686577
1561,138629.5561525048
1562,131662.621320348
1563,125375.33517980148
1564,156475.3399696982
1565,155982.36919651154
1566,240697.11800850072
1567,76473.81283697514
1568,236659.76077222673
1569,137466.65899406502
1570,135527.2279554574
1571,112197.02854650609
1572,147582.10806128604
1573,242580.04314947498
1574,119704.57500180046
1575,223774.4103955266
1576,231086.89337657572
1577,198170.13975438607
1578,144652.5630456227
1579,151069.51012262923
1580,187672.84382099117
1581,152422.0144388967
1582,129859.67074113688
1583,332595.4909685637
1584,230578.3095629588
1585,141517.49982848723
1586,60731.49247769681
1587,97253.01813569367
1588,153917.4364662471
1589,93614.32377392148
1590,137018.85262347525
1591,95799.82761603281
1592,115917.81163030904
1593,129470.90313038747
1594,148450.22567983234
1595,129890.93563848198
1596,245462.57895808603
1597,187414.49424637225
1598,211667.2570962777
1599,178421.26716481178
1600,178795.97958790878
1601,63231.612200825766
1602,116867.34263040956
1603,72491.26085613707
1604,276424.46953702695
1605,247613.22430623107
1606,169262.73513067653
1607,166713.01164184004
1608,215517.40039277024
1609,190293.21866077164
1610,158471.8446191011
1611,139997.38157361964
1612,166131.51356534968
1613,168828.54122228222
1614,121626.08209075684
1615,89699.98581696606
1616,70334.58633692042
1617,89134.53843448605
1618,129373.55074869533
1619,141296.21379856206
1620,190666.39708011958
1621,140717.80243455243
1622,136119.69751042116
1623,275377.4890106631
1624,210935.19851930937
1625,127524.99433048684
1626,158815.7988521034
1627,185489.45517569318
1628,284172.0747621736
1629,172449.2676151052
1630,367886.11001711467
1631,213177.66063668253
1632,240737.94987616816
1633,169793.73302579354
1634,190377.95255320444
1635,175798.768097242
1636,157209.98991604027
1637,191861.11729987006
1638,192998.3580849164
1639,175846.16243311227
1640,254338.0451067284
1641,175510.4550780275
1642,234222.07540082175
1643,221976.98248908954
1644,235011.89815883376
1645,189523.11563952986
1646,159520.70103211567
1647,158839.7836553735
1648,130924.18608234868
1649,137651.17293165764
1650,112535.83520280184
1651,118377.42744669243
1652,98321.25311300735
1653,101390.94264948549
1654,141156.6941964996
1655,140560.59884425916
1656,144576.26824899612
1657,145717.9350554423
1658,145520.03980532705
1659,126526.6614366678
1660,158911.7305605969
1661,465791.10165951576
1662,394239.94344551174
1663,373183.5535974923
1664,488990.17625714873
1665,313197.3897221584
1666,308882.8045937848
1667,368854.56330668635
1668,321331.02763035055
1669,295142.0405495702
1670,355957.44429115974
1671,256318.42754062853
1672,482087.4601062364
1673,307953.0330346469
1674,246991.53107855833
1675,185678.16279078007
1676,190260.77086229483
1677,222945.3437441379
1678,486389.6054635002
1679,460409.7075700329
1680,353168.4179618946
1681,266549.12427568214
1682,288272.4961586679
1683,176081.15638526305
1684,173280.04979982824
1685,172804.81518654744
1686,167646.2330268653
